{'iterations': 2048, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 0, 'clip_fraction': 0, 'clip_range': 0, 'entropy_loss': 0, 'explained_variance': 0, 'learning_rate': 0, 'loss': 0, 'n_updates': 0, 'policy_gradient_loss': 0, 'std': 0, 'value_loss': 0}
{'iterations': 65536, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1536.773, 'clip_fraction': 0.9966796875, 'clip_range': 0.2, 'entropy_loss': -4.258971051871777, 'explained_variance': 0.37039679288864136, 'learning_rate': 0.0003, 'loss': 3210.205810546875, 'n_updates': 310, 'policy_gradient_loss': 0.36011267923749984, 'std': 1.0007197856903076, 'value_loss': 19727.526723480223}
{'iterations': 67584, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 222.17818, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.258967420458793, 'explained_variance': 0.9121284559369087, 'learning_rate': 0.0003, 'loss': 393.11334228515625, 'n_updates': 320, 'policy_gradient_loss': 0.318505092500709, 'std': 1.0007191896438599, 'value_loss': 3050.745594215393}
{'iterations': 69632, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 317.24765, 'clip_fraction': 0.99638671875, 'clip_range': 0.2, 'entropy_loss': -4.258980715274811, 'explained_variance': 0.8130695968866348, 'learning_rate': 0.0003, 'loss': 202.02615356445312, 'n_updates': 330, 'policy_gradient_loss': 0.3480942777823657, 'std': 1.0007237195968628, 'value_loss': 6223.47797460556}
{'iterations': 71680, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 496.5045, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.258999057114124, 'explained_variance': 0.13585025072097778, 'learning_rate': 0.0003, 'loss': 3329.5859375, 'n_updates': 340, 'policy_gradient_loss': 0.34612703188322486, 'std': 1.0007299184799194, 'value_loss': 13464.935025024413}
{'iterations': 73728, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1986.4044, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.2588976845145226, 'explained_variance': 0.6169659793376923, 'learning_rate': 0.0003, 'loss': 766.0439453125, 'n_updates': 350, 'policy_gradient_loss': 0.3213052142120432, 'std': 1.000694751739502, 'value_loss': 3969.9687539100646}
{'iterations': 75776, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 18716.031, 'clip_fraction': 0.995751953125, 'clip_range': 0.2, 'entropy_loss': -4.258998969197274, 'explained_variance': 0.8775253742933273, 'learning_rate': 0.0003, 'loss': 2233.251953125, 'n_updates': 360, 'policy_gradient_loss': 0.28939389253500847, 'std': 1.0007312297821045, 'value_loss': 6266.4759872436525}
{'iterations': 77824, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 789.00964, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.259031799435616, 'explained_variance': 0.6814969480037689, 'learning_rate': 0.0003, 'loss': 2412.833740234375, 'n_updates': 370, 'policy_gradient_loss': 0.3302962810616009, 'std': 1.0007412433624268, 'value_loss': 10900.970839691163}
{'iterations': 79872, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1023.63416, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.259093217551708, 'explained_variance': 0.8310221880674362, 'learning_rate': 0.0003, 'loss': 1151.55810546875, 'n_updates': 380, 'policy_gradient_loss': 0.3304329331673216, 'std': 1.000761866569519, 'value_loss': 5909.333881759643}
{'iterations': 81920, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 6566.998, 'clip_fraction': 0.996826171875, 'clip_range': 0.2, 'entropy_loss': -4.258939608931541, 'explained_variance': 0.8049907386302948, 'learning_rate': 0.0003, 'loss': 2074.576171875, 'n_updates': 390, 'policy_gradient_loss': 0.30097629317897373, 'std': 1.0007075071334839, 'value_loss': 7255.0118221282955}
{'iterations': 83968, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 761.95215, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.2589624434709545, 'explained_variance': 0.8296652436256409, 'learning_rate': 0.0003, 'loss': 1929.21826171875, 'n_updates': 400, 'policy_gradient_loss': 0.32128041962860154, 'std': 1.0007182359695435, 'value_loss': 5892.735842895508}
{'iterations': 86016, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 388.91382, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.25894416719675, 'explained_variance': 0.6409221291542053, 'learning_rate': 0.0003, 'loss': 751.5201416015625, 'n_updates': 410, 'policy_gradient_loss': 0.3231211530510336, 'std': 1.000711441040039, 'value_loss': 3350.145520401001}
{'iterations': 88064, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 4846.1377, 'clip_fraction': 0.99677734375, 'clip_range': 0.2, 'entropy_loss': -4.258743527531624, 'explained_variance': 0.900779701769352, 'learning_rate': 0.0003, 'loss': 436.7825927734375, 'n_updates': 420, 'policy_gradient_loss': 0.353608379457728, 'std': 1.0006403923034668, 'value_loss': 3493.6050501823424}
{'iterations': 90112, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 711.3064, 'clip_fraction': 0.995703125, 'clip_range': 0.2, 'entropy_loss': -4.258766791224479, 'explained_variance': 0.6711753308773041, 'learning_rate': 0.0003, 'loss': 1658.9774169921875, 'n_updates': 430, 'policy_gradient_loss': 0.32245722045190633, 'std': 1.00065279006958, 'value_loss': 15907.851251983642}
{'iterations': 92160, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1075.7611, 'clip_fraction': 0.996240234375, 'clip_range': 0.2, 'entropy_loss': -4.258787460625172, 'explained_variance': 0.818361446261406, 'learning_rate': 0.0003, 'loss': 1185.6156005859375, 'n_updates': 440, 'policy_gradient_loss': 0.31908721025683917, 'std': 1.0006600618362427, 'value_loss': 4007.3843378067018}
{'iterations': 94208, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1070.4209, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.2587813034653665, 'explained_variance': 0.7017276883125305, 'learning_rate': 0.0003, 'loss': 1200.2647705078125, 'n_updates': 450, 'policy_gradient_loss': 0.301183666230645, 'std': 1.000657081604004, 'value_loss': 4368.256967926025}
{'iterations': 96256, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1689.8818, 'clip_fraction': 0.99677734375, 'clip_range': 0.2, 'entropy_loss': -4.258695484697819, 'explained_variance': 0.909652091562748, 'learning_rate': 0.0003, 'loss': 551.6663208007812, 'n_updates': 460, 'policy_gradient_loss': 0.3333434085827321, 'std': 1.0006253719329834, 'value_loss': 13176.262880325317}
